address,amount
0x220e487ed5A886Da443Eb5F2CC5688794710C26a,136.60
0x14B59d9D9D2968d98BD8DC4653A82178De7d1524,108.88
0xAB4A94C1AFE0Ed9B95356b8C73576e51Ac3bFB71,105.58
0xc35d0beb1c508797484f0f55afe1ea2719be5b2e,100.00
0x1D735fe405C4923F049Ad13f9b643650a106FAbA,82.40
0x52a0a9CC582AeEe10898290802F51a47663a45dF,75.00
0xb682CA4454091ae69FC4424A7b501f5241214b34,67.50
0xca4c76993c5cc4f31e23a97e90e20fef9c1788fc,66.61
0x62b206DBe1bc0E808DADc95fAb0fe3b23631f8C8,66.25
0xDC5EB0fc6D3F64689290595EBE8943155Ed4a73A,61.80
0x5d08a7e171a914bA7708e40C415bb0B32f799312,58.01
0x76292e5504B0B6A6A71F8a1d4658fc84a55061cd,50.75
0xaBf0F16f7a2E324dBDA9016Ae2001426D3A0E17f,48.91
0x6a8c1e2CA3fFFb1b0659D1978BBe70D7Ce83ecF7,48.88
0xC693a43C79F674a43028172A9C86e4289F1E4d88,48.81
0xD694deA2490c5eE4fcf9D93bC48b563fb7c9F006,40.19
0x9d0CC691B90EaA2814f2ddBe7c40C14C3C67FB14,38.29
0x7b89c1b6ed5df313d015c5a655fefaa794319de9,37.58
0x3d39dc636b646b684bae0b7bcde3ca604ad7461b,36.91
0x1c468a8d3f04f362e747bc0eb93ecb634ed14eed,35.00
0x347ddEB0294015EEce0609C9318E64c9DffE2e82,32.86
0x31380302ee9632Cb84C0B6d94860b365b47e4C28,32.59
0x8c74B26847aF2e1c5eB3a7e92029BD7c82c1127d,32.51
0xa3f0ec029F9Ed8363abAE88F739d096714d51dad,31.50
0x638A4B4e71D488dF04370df5F4E6d4B7eB59534c,29.00
0xd515434C8F1B74a5B389A92c74E8EfbB09C2Ab48,28.31
0x34bA260463993Aa80588Ae650ec61764c68af955,27.50
0xedf8168A3Ecf26c80f1E17D777210f8b92474480,26.05
0x2b9F54A50cdf1b47A0C24060d3C7579Ca1A79230,25.49
0x5e8e73096645B6194f418cBd5623c54De820E530,25.00
0xCA13b664BBb693aB9869e69c3A607Ff08D52E880,25.00
0xCb0ac94D2eEA8443b50BBB8C86136B2Fa248DCC2,25.00
0x1Cd2Fe8484271d67F12E2952ccd6e2d604e93b25,25.00
0xBEC752ABbC027f7421dABB940a0f309De6ea1550,25.00
0xc3B7A64607F05d89beFc6dd6bAe201b1121a32e3,25.00
0x411BDf93f5F853b5065CB0192ff0A290f85AB537,25.00
0xcc77e1e412f9a1c16d6e6e78856971ba8dde26f6,25.00
0x184e0ffd1ca5d93b70f15083d583af5890f81c49,25.00
0x841e49a161AA448eAc436Ac366ab98784114472F,25.00
0xbbcc3e9123c06cb782ad7a50e1845ae98c7f2865,25.00
0x0d4ee1ff46321f3445c0535d830f38beaa74bc83,25.00
0x607a6F218DeDF3479bD82A5EfEa39F59E2d10c64,25.00
0xea2af5588b745a30aa791748ad95884f3fc18e9f,25.00
0x5ef45e5d7d5915e36124e42962ded2cca61b4391,25.00
0x22239183507c58ca8ce0f5cdc9178bbb5cf376bd,25.00
0xb61A5670FCD0E76eE315d469A78D971d941b624E,25.00
0x0f2f641045f6fDb731c55c3B4116988Bc279DFc5,25.00
0x054Cc71F2a893a1839B83d2ca9aAC31A542F9d64,25.00
0x07a0c945A9AdBb8008365c4D79220899aD3f3289,25.00
0x4c410f5E104AF98819d7246cf0798a4F6722dd17,25.00
0xf9f23358E724b5fB8ab131212CC6bA437Fa8FfF3,25.00
0x28D3a091E69575f77D8C74CE7b71dF61e1546Dc4,25.00
0x41a686f8310B37303a85D1F2feb9977e6FdBAEDe,25.00
0x1c1e23112fb6e479b277d89ae7a30453ee1ef058,25.00
0x2c644c82343626ccAe5ee4286b8542d22d7F41bc,25.00
0x13b30E40a17c56353D089FBAFdb1511e93Ee1d3E,25.00
0xcfC7c63a162218b610591D824b3316F20b2510B3,25.00
0x02100bDC76603140187420Ea7a463493eC004C57,25.00
0xA111E4C8583F71D14d7211188ffbE277804158F4,25.00
0x55d5519e2cA1F5A32F4B14Bd383148Aa030672DD,25.00
0x20A914332903cA17C8b2db69891F251afc3cE428,25.00
0xA00e80e8B2A170e5A53f927f8C312C02a6EE5a11,25.00
0xBCa4792d8EC65A52b28940EE18be2B0E6fEE5aC4,25.00
0x2f0b06f025a96aec5a2b8e4ba51460f6dbc67dc9,25.00
0xFbdE053E494d8aF4370A30C501Ce9dD8742d6b6C,25.00
0xfA4a618fED9c50d260d5aC4ba2852d3009545A42,25.00
0xaB713652F9641a23cEB87577f6F669632d6Be157,25.00
0xb370306F8891009D02A0FAB73223cb57631E804b,25.00
0x76Cb6b4c62BAB19B179Ac61c399Ec9c9a7B0f6A2,25.00
0xfA4C860F4Cb01E1e9F8Ce8cd8598d273bd6D119a,25.00
0x15fea583cb83669be4826d56a5174f88e81b3a66,25.00
0xDA3040A7C4Afef90e54f3064846a64D48Cdc99d9,25.00
0xc04AC5C39dF5e694Cb944Ab1ba3701bDf89Aff13,25.00
0x895eb1bf8235890ccbc0381594dd60baf96b928b,25.00
0xF8428CcCff160Cc8Cfd86298F3B31612503902ea,25.00
0x16F1FC63677a8dbB74d776F56B8C1986950B9BE3,25.00
0xF561c7452544b1f6386c82F22F0a38de039F43CE,25.00
0xfA0352f9BDEe5FeFD0A7fB9818Cd880c320c4829,25.00
0x3C8719D1C5f469876F4E82Be2202cC3f5aa94a6C,25.00
0x7938657f64f3bafeb4d2eb3aabc100feab33ec39,25.00
0x9A162f849396ED1bd35206d7B0de277489e4F382,25.00
0x1000fc838052d42e6c5565fb0de14acf39e04cb1,25.00
0x3382506908D39feA7d43477d8c7Cb46D0E3613e8,25.00
0x928b1da5cb547136b377cb55c03955fa62aa0247,25.00
0x5411F0666b529e47302016554ac272c31e057a1B,25.00
0x3e466cf6C43Eb2951dEE3902C23cc0d00F346952,25.00
0xfab1d91010a34967e0b92f15b31294b72f5a8f1f,25.00
0xff6a513b87002e4ffee6617f8279fc1799b917aa,25.00
0x3c87d59b10715a477237d278ff856396d113e936,25.00
0x9AE9e7763D6659426bA7c01118488afc1Ba2F665,25.00
0x089fc44986Df3F17A0bF446CD8DBa414f784614b,25.00
0x41814822f70849d7c23a0d3ce349e7071001481a,25.00
0xd220EC5314E80E1B1F4A0CDeF7c9bcf9bA2A9F13,25.00
0x964174824b62E670a4f223038F3B5D803babe835,25.00
0xAc18d71c0b27BDEe3618903f23C2860192C97C82,25.00
0x07308f2F0F3A46e7C8a3A281c0e8734700e55c6F,25.00
0xD15395cbb34DfC7085cd4A919b16dc9b4FDaB4a5,25.00
0x37f6111daEF36B772DcE6ACD9B1F75fd235033fd,25.00
0xe6f2bc01afb90b56872d2b839cdbfac966c5a644,25.00
0x8E5138040FA67e6CebF18fa432Aa584c08a60eEb,25.00
0xa22393b0360E0973dbA54F9909237506f269B14a,25.00
0x81f55453BDCE9783E394dE8f485632b0B188B8f8,25.00
0xEf487aF9c18Bc576F92015389B6F069a44FeB403,25.00
0xef7Ea38Cc7bCf939600e042bc6C74dA591e96B05,25.00
0x5317836F2D57918cb9a405bB5aC9eCcaD71202Dd,25.00
0xF690d8AAd70c8eD4d0ab7537cA3bf162FFf55c7B,25.00
0xC8Cb1bd969a520043F684033fD19ff013A302519,25.00
0x21aBcEbF666c111129Bee9fF099716656ec4b0fC,25.00
0xD7E70546c3f3C171e8C322f45e4A8748Fe3B224b,25.00
0xe08f253f1c797bfb62e0cb8480c67b6c3570035d,25.00
0xa9BE8bd4caA3d8EA15D8310a52dCa9493D702Cb8,25.00
0x6560Fed06DC39a550569C7199643f169781Cfc32,25.00
0x10846439b84E356B4B279614c611aCe2C5ED8C7b,25.00
0xfc06a35DB6104b88893d1F25b8BB448F03467B07,25.00
0x0fdd1ED998022BaBCe6D83A356a3eF00d726ED77,25.00
0x5f04bc995ad9c299429b8ff6dff598daecf84265,25.00
0xFa1eafD1b7ef15B435c95b80B82A43fF6d55FABd,25.00
0xc322d0242ec3cca838ab3a24051f124422ad386e,25.00
0x86cfdcE1e1cc5731D1ef4bB0D01e81B7B56E78B8,25.00
0x568399c701b7a500849b7f11240ec055186af30a,25.00
0x4051b386d61447b9ffde7335cc45ae44da956565,25.00
0xf5D55547aB5Ade9273C46d2B3199D6843102dA23,25.00
0xCDe0a0795598e47F3fF977AF34628164D7C51935,25.00
0xb773a5116a68745cb0308e62a1fb948a6c44e92e,25.00
0x7346D86b88C2Be0D63C6f4576358Dc22A6849d56,25.00
0x456ea2A50a3D2dD7FA61bAc38e24C672250E2e9b,25.00
0xAcfD4D3E7Da918E80D08c902E8D3268E6354386B,25.00
0x1D912AD9FcfD0800Ab72ac52228bAe9424B5Cd69,25.00
0xD9a5f146748317376CCfa0823e98c1f440442f75,25.00
0x6a138a04de5c7a75876b7dc2c5b9494ad862614c,25.00
0xf16b7dF46ee3FCb66D991ef40Dcd41b7a866c032,25.00
0x02923eF7a8785e9230ADF34C9c744332D2872F53,25.00
0x90F48cf3618B53B60ea0A9b0D25D6B5C6D584cF7,25.00
0x16A6cE3ad77631100561aEC35b15742321d95C6b,25.00
0x6Ab4dA8703FD519a9806342A880251F5f45211F2,25.00
0xC7E2905a1018E12207EdfF69d8Ee070829157014,25.00
0x096439A5B64F9e007Fcd6ceadDfAf51C76530B68,25.00
0x0D9b9257e4549aF8228c13587091DA46D7678E87,25.00
0xf27752278a7266d4373c9373dcbc4224c5d30179,25.00
0x873cDAC3cd35A6e59Dc22c00b222B77CD58E3d27,25.00
0x8d9961551b2132CDb86f31c9D80e83a6205b2eBF,25.00
0x2F74f36e1bC71d5Fa18EbeeF2B2C8A82A40FfC69,25.00
0xFb22F3854088807421F89fc6f5cbad3e7FC41916,25.00
0x795f2f437c2d87370d2D0379d3b264b6BEFC9657,25.00
0x7919bC4AaE0e43D548cdFFB4975F61596A235F4B,25.00
0x8bF47BD1b138762b1E48676Bb469565Fa1bdFB6C,25.00
0x02ed7a1721814311ad313d9f45e81b2eabfe5a3e,25.00
0x82305B81a6b7dcf413a470dc4Adf1769A30259c5,25.00
0x2459E20479e08Aa627cD08E424d0714a1BA4558E,25.00
0xFF82A4D73680a8F44B87CFA6faBc4A419dDB1cAD,25.00
0x67B1F11F544871343c24f45c4a622Ccd7ec20ae2,25.00
0xeea4efc78abe483d8be3d5bcc2743a8c59aef506,25.00
0x39A12f5704E52277c9c9949bD4663e3ACaC4807c,25.00
0xfe02f70cc77d74944e49dfe1a4e4e2b0cdd1d46c,25.00
0x8aFF21B4c046A4B342D29bDdEE7ed72BF53e646E,25.00
0x8168a0f759B7C01b148269b6E3457EAAA3a00b25,25.00
0xf5029ecbf2b319343fe94951d31a6243995c8e1c,25.00
0x8b00954D63f64e45c60cF3Cf792544321A4BB743,25.00
0xB367908802ad09de94dB5C4DF09cA684fB3d80cd,25.00
0xe404A64adaF2e5069057a816b5D582243f8725fc,25.00
0x5c424390ecda26Ed565C43Ab267aEc0F7cfF3117,25.00
0xa85e39486427d09Ae1798857044eCFeC2b27a07b,25.00
0x6A67F1a946B1Cae1ffc799E1E970abF5647D9d2b,25.00
0xcfbc50e920C30ebbFA2329d5379DB070fbE6d934,25.00
0xfCB0F4AB236C29A9d0393E9a28AcFC904aAe1BD2,25.00
0x1B6A3140e28D2522007E8dFd6DB8472a429E367a,25.00
0x56558feCD12BE5844d51bc1DE44Ad1Ca51f6F098,25.00
0xff3ea134acd1a69ddfc419b22013896dd088bff9,25.00
0x2602952c99C604E8868DdD72DAf6f75Ae56F08BB,25.00
0xc565316AdD6454bBf49b2c7e3970312898a784f7,25.00
0x6e929A3572518Ba00218C90713Be9bA232E5FA1E,25.00
0x1C2c7147A8e00CB77e07F85Df477E3C1ae2B32C7,25.00
0x3DA2a34e783FC6E1fab8145533d773C336aD5f56,25.00
0xEE8E5532D21a42A9ceAe4A64D12E5C9922De2d4e,25.00
0xA00937e87bCfc2d23c57A1B7D479d56Ce14322F6,25.00
0x8a28F3e77dA0468501ed8d0417176Ba52EeBd99c,25.00
0x9578094f2282464bFcc63398F0070c3B5B24cA59,25.00
0xb2831B52D336324E2d52e1B370aA37D023BD0188,25.00
0x93c4036e2a13accf1ed822e78b446c5793bec2f3,25.00
0x7cc9c71457967644274dd97bc1926a5d53213204,25.00
0xac7e7C0F3eDf11533011b8a4d8d60Fc41dE2714e,25.00
0x81d6c868dcd44e88c9be779c5ab9a965ebb288f8,25.00
0x96dD5eF50c5E00349d492c57520eaFE9b31c229e,25.00
0x7E16ec45E19A288Df53e906338E1F6B271900Ed5,25.00
0x5D8Cbb8258ff4f7eD83979f59538DB645fe3E863,25.00
0x8f4ad13c73cb04d8d00046bca92184c1fd879988,25.00
0x460638D811773812e66DBef188Be63a98f3fB7a8,25.00
0x949b8aaf813d7d4b24ac91d451cabded77bb6011,25.00
0xb96E712821d102aF2dfD4D714e16Ee01a3107db4,25.00
0xC176a173D50ef1188b512D4465ACD1E4DD68E723,25.00
0xf54D842aCE58D9619951360C2704B7582aE8709c,25.00
0xC3ae2e26eaa263e07F56A1E08b2D789bd08104C2,25.00
0x38831c01544ec903664fb8254e8e523b20b52d58,25.00
0xd4DE585b0a6492D41e0943EcC1D0a524Da36f1bb,25.00
0x1DAE574EfC04C17aFd02c2da72e527A752d4C727,25.00
0x62f303392E27F12548D517Db234aA32B6a19e471,25.00
0xEA5A7CF6f0cC31e461633d9416f7A41Aa6cbc02D,25.00
0x3D0CEB5a19727a37c58135d6c2424128E85057b1,25.00
0xb24072011BDcDDeA32175ea7d18472fbb1744005,25.00
